Zp,Zs,LR,MR,VpVs,label
5626.2612,2792.0303,16.0659,7.7966,2.0151,0
5498.1191,2727.4771,15.3521,7.4396,2.0158,0
5479.4136,2719.978,15.2274,7.3983,2.0145,0
5476.2129,2719.4268,15.1983,7.3953,2.0137,0
5515.3545,2740.3101,15.4007,7.5094,2.0127,0
5593.6621,2781.9524,15.8111,7.7396,2.0107,0
5585.3184,2778.3687,15.7572,7.7194,2.0103,0
5575.3203,2773.3818,15.7009,7.6916,2.0103,0
5621.7036,2797.7664,15.9489,7.8277,2.0094,0
5674.7891,2825.7124,16.2342,7.9848,2.0083,0
5707.2480000000005,2842.6216,16.4117,8.0805,2.0077,0
5758.585,2868.4817,16.7054,8.2284,2.0075,0
5776.981,2874.6514,16.8463,8.2636,2.0096,0
5657.2969,2808.0409999999997,16.238,7.8874,2.0147,0
5526.0127,2735.1328,15.5758,7.4818,2.0204,0
5412.437,2672.4036,15.0125,7.1428,2.0253,0
5309.2905,2616.8708,14.4934,6.8486,2.0289,0
5280.3638,2601.2131,14.3496,6.7663,2.03,0
5369.3916,2648.2546,14.8062,7.0148,2.0276,0
5501.0596,2719.4778,15.472000000000001,7.3967,2.0229,0
5651.5708,2802.2056,16.2387,7.8548,2.0169,0
5714.2441,2838.8711,16.5345,8.0593,2.0129,0
5695.4316,2832.3984,16.393,8.0225,2.0108,0
5718.7314,2847.1379,16.4917,8.1063,2.0086,0
5812.9521,2896.5413,17.0133,8.3915,2.0069,0
5813.3491,2893.9756,17.0482,8.3776,2.0088,0
5695.4756,2827.3066,16.4511,7.9938,2.0145,0
5661.5376,2804.1943,16.326,7.8636,2.019,0
5624.4126,2781.4651,16.1612,7.7368,2.0221,0
5558.8887,2746.4277,15.8164,7.5433,2.024,0
5518.2241,2726.2561,15.585999999999999,7.4326,2.0241,0
5569.521,2754.7490000000003,15.8429,7.5891,2.0218,0
5634.7666,2789.5691,16.1874,7.7818,2.0199,0
5651.0532,2796.2358,16.2966,7.819,2.021,0
5571.9404,2751.5938,15.9074,7.5735,2.025,0
5432.7646,2677.3044,15.179,7.167999999999999,2.0292,0
5446.8594,2685.4851,15.2454,7.2125,2.0283,0
5622.5435,2783.7803,16.1255,7.7587,2.02,0
5988.6846,2993.0142,17.9514,8.9644,2.0012,0
6199.061,3133.2952,18.7939,9.8175,1.9784,0
5878.9395,3042.5042,16.0494,9.2576,1.9323,0
5967.4043,3090.5151,16.5074,9.5513,1.9309,0
5952.3657,3081.8901,16.4351,9.4985,1.9314,0
5678.0107,2911.9988,15.2803,8.4797,1.9499,0
5686.9971,2918.1829,15.3104,8.5158,1.9488,0
5729.8428,2941.1504,15.5307,8.6506,1.9482,0
5763.5938,2957.7551,15.7224,8.7483,1.9486,0
5768.0757,2957.7354,15.7743,8.7482,1.9502,0
5731.9775,2936.4153,15.6108,8.6228,1.952,0
5673.4878,2904.6646,15.3147,8.4373,1.9532,0
5660.5327,2898.6169,15.2377,8.402000000000001,1.9528,0
5671.7163,2905.2129,15.2878,8.4403,1.9523,0
5875.4106,3016.9226,16.3198,9.1031,1.9475,1
6336.6641,3404.6475,16.9698,11.5918,1.8612,1
6363.0044,3411.363,17.2129,11.6376,1.8652,1
